week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,Age,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2012-07-15 00:00:00+00:00,196,4129.0459183673465,2.1985669168084745,18,3195.0,1.7728817984730108,25,3013.68,1.9814919227071188,0.4444444444444444,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-07-22 00:00:00+00:00,185,4156.9567567567565,2.197268079121813,14,2506.1428571428573,1.7298201303799214,25,3339.08,2.0951643303583882,0.5714285714285714,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-07-29 00:00:00+00:00,185,4217.378378378378,2.139609184919238,25,3786.2,1.6448522558071819,34,4374.323529411765,2.0369370751746594,0.44,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2012-08-05 00:00:00+00:00,172,3959.4302325581393,2.1415652711997364,21,2358.7619047619046,2.080081380213867,12,2162.5,1.7917594692280554,0.42857142857142855,2,0,0,0,1,1,0,0,0,0,0,0,0,0
2012-08-12 00:00:00+00:00,175,4073.84,2.1191245434763886,15,3856.6666666666665,1.5867847075280475,23,3316.913043478261,1.971332717204481,0.5333333333333333,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-08-19 00:00:00+00:00,170,4013.135294117647,2.1146836301423875,18,2533.3333333333335,1.7728817984730108,18,4671.666666666667,1.9080368345090652,0.5,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-08-26 00:00:00+00:00,172,3925.8313953488373,2.1153500774933405,20,3855.0,1.7262612680766163,15,2633.733333333333,1.67458956699991,0.5,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2012-09-02 00:00:00+00:00,185,3939.6054054054052,2.1358854940290066,28,3324.6428571428573,1.7747867310443386,15,3466.6666666666665,2.0262296229952916,0.5714285714285714,2,0,0,0,1,1,0,1,0,0,0,0,0,0
2012-09-09 00:00:00+00:00,198,4028.0757575757575,2.1563649771827795,28,4311.857142857143,1.9767332282465755,21,4832.523809523809,2.0335444840954313,0.5357142857142857,2,0,0,0,1,0,0,1,0,0,0,0,0,0
2012-09-16 00:00:00+00:00,211,3691.047393364929,2.1605629444834644,34,2433.3823529411766,2.15716530000811,32,2916.4375,1.8249567573682999,0.6176470588235294,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-09-23 00:00:00+00:00,207,3770.1400966183573,2.1845579644224995,28,3390.5,1.8288411561741993,29,3164.9655172413795,2.0903293755379124,0.4642857142857143,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-09-30 00:00:00+00:00,209,3676.909090909091,2.1572088269833434,31,2575.451612903226,1.885337092651739,27,3727.185185185185,1.77704204407121,0.5806451612903226,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2012-10-07 00:00:00+00:00,221,3708.6787330316743,2.21265448064816,39,3891.74358974359,2.2098996006449676,24,3414.1666666666665,2.1088873005939317,0.5641025641025641,2,0,1,0,0,0,0,0,0,0,0,0,0,0
